NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Issy-les-Moulineaux	423.2	92040	46127	52647	2.2648185245	48.8234070708	57124.565296401	76032.03324515	285.622826482	380.1601662258
Croissy-Beaubourg	1086.9	77146	2396	2236	2.6556220538	48.8168704996	85813.6801518351	75109.0890324693	429.0684007592	375.5454451623
La Ferté-Gaucher	1735.1	77182	3924	4150	3.3039962997	48.7883294979	133435.681345575	71923.4744158294	667.1784067279	359.6173720791
Boissy-sans-Avoir	407.3	78084	423	519	1.7981482102	48.821182315	22860.26698181	76204.9324678192	114.3013349091	381.0246623391
Ferrières	616.2	77181	1445	1655	2.7074178754	48.8205841461	89618.5302307011	75506.6711312896	448.0926511535	377.5333556564
Fontenay-le-Fleury	556.5	78242	13196	12582	2.0465985293	48.8177288943	41096.0455441311	75572.0216884194	205.4802277207	377.8601084421
Champigny-sur-Marne	1132.7	94017	79486	74237	2.5175514356	48.8173127902	75675.638352202	75211.3473448092	378.378191761	376.056736724
Ville-d'Avray	369.3	92077	11616	11415	2.1785702347	48.8217826376	50790.60306737	75913.8348073298	253.9530153369	379.5691740366
Joinville-le-Pont	228.1	94042	16657	17117	2.4718573923	48.8203004147	72322.658078758	75565.0084850499	361.6132903938	377.8250424253
Villeneuve-Saint-Denis	741.8	77510	559	670	2.792692161	48.8131628306	95877.550443301	74661.6710144393	479.3877522165	373.3083550722
Jouy-sur-Morin	1847.7	77240	1806	1929	3.2727536788	48.7955531983	131137.530711498	72718.27998449	655.6876535575	363.5913999225
Charenton-le-Pont	182.7	94018	21872	26582	2.4074733018	48.8228992781	67597.552871085	75887.5182554899	337.9877643554	379.4375912775
Versailles	2610.3	78646	87789	85726	2.1178327714	48.8024500331	46307.3349109	73812.4707220094	231.5366745545	369.06235361
Vanves	157.5	92075	25967	25414	2.2877369425	48.8217115443	58805.475413264	75828.0903380997	294.0273770663	379.1404516905
La Celle-sur-Morin	758.2	77063	951	1106	2.9719396148	48.7975742811	109039.937628489	72908.7634979701	545.1996881424	364.5438174899
