nomcom,surf,insee,pop90,pop99,lon,lat,gares,tx_hlm,dece9909,jeunesse,p09_pop,p99_pop,d90_pop,d82_pop,d75_pop,d68_pop,median,tx_appart
Aulnay-sur-Mauldre,224.30000000000,78033,1026.00000000000,1105.00000000000,1.84126665526027,48.9284616297241,99.9261717223056,0,57,1.9336917562724,1150,1107,1026,959,585,521,26208,6.96078431372549
Signy-Signets,1345.10000000000,77451,576.00000000000,564.00000000000,3.06427691956507,48.917493352443,0,0,21,2.21245421245421,598,562,576,385,264,219,21772,4.99931703319219
Boinvilliers,363.70000000000,78072,234.00000000000,280.00000000000,1.66333800752057,48.9207150273416,0,0,12,1.31609195402299,267,280,234,195,159,95,29803,1.00371374084111
Maule,1747.80000000000,78380,5751.00000000000,5863.00000000000,1.8393958589129,48.9077431041837,56.6199002994352,35.4134168315222,419,1.29015544041451,5838,5861,5751,5360,4185,3529,27098,23.022058203851
Nanterre,1223.70000000000,92050,84565.00000000000,84281.00000000000,2.20666813586634,48.8960512866883,100.000000001446,67.0761793904839,4912,2.53021233051931,89966,84270,84565,88578,95032,90332,16940,83.0187456405487
Bobigny,676.50000000000,93008,44659.00000000000,44079.00000000000,2.43856519533974,48.9074957750134,99.9999999973799,71.2357914856211,2344,3.05761781794706,48503,44118,44659,42723,43125,39453,11626,79.2521562939765
Hargeville,700.40000000000,78300,275.00000000000,319.00000000000,1.74604589441623,48.8954364108147,0,0,14,1.94791666666667,386,319,275,261,144,152,29553,3.99830460582085
Boitron,514.90000000000,77043,264.00000000000,335.00000000000,3.26188427236484,48.897202161449,0,0,21,2.05913978494624,389,335,264,173,126,99,21478,0
Sablonnières,1396.40000000000,77398,595.00000000000,628.00000000000,3.29341690632347,48.8758115286071,0,0,51,1.5968992248062,694,628,595,524,443,445,18318,1.90274841437632
Brou-sur-Chantereine,435.90000000000,77055,4469.00000000000,4280.00000000000,2.63987132608382,48.8903305774607,60.1126191124729,51.2341147703438,236,2.20710973724884,4167,4282,4469,4429,4664,3269,20230,63.0270121278942
Rueil-Malmaison,1457.70000000000,92063,66401.00000000000,73469.00000000000,2.17753118801689,48.8690229033287,99.999999993983,41.0776418403774,4757,1.82916959064327,79065,73599,66401,63412,62727,60804,30485,75.361033072108
Puteaux,319.00000000000,92062,42756.00000000000,40780.00000000000,2.23878510335178,48.8841805215305,100.000000004725,44.0171829915873,2380,2.07906432748538,44892,40871,42756,36117,35514,37946,24264,96.1034823757409
Les Lilas,127.30000000000,93045,20118.00000000000,20226.00000000000,2.41965971248164,48.881883568121,100.000000020565,39.7910422528958,1497,1.65081967213115,22439,20207,20118,20354,20054,15817,21115,86.1253357292833
Magny-le-Hongre,466.80000000000,77268,331.00000000000,1791.00000000000,2.81387900023884,48.8673029629013,40.3327780569254,9.26694329183956,41,9.54817708333333,5500,1789,331,264,223,121,27328,45.3689167974882
Beynes,1861.70000000000,78062,7445.00000000000,7200.00000000000,1.87073856399866,48.8542765283795,61.0321484018329,38.1871267011837,292,1.58959285869802,7628,7200,7445,7593,5501,1571,26870,25.1617051988521
